Date,Open,High,Low,Close,Adj Close,Volume
03/13/20,66.222504,69.980003,63.237499,69.4925,68.95797,370732000
03/16/20,60.487499,64.769997,60,60.552502,60.086731,322423600
03/17/20,61.877499,64.402496,59.599998,63.215,62.728752,324056000
03/18/20,59.942501,62.5,59.279999,61.6675,61.193157,300233600
03/19/20,61.8475,63.209999,60.6525,61.195,60.724293,271857200
03/20/20,61.794998,62.9575,57,57.310001,56.869179,401693200
03/23/20,57.02,57.125,53.1525,56.092499,55.661041,336752800
03/24/20,59.09,61.922501,58.575001,61.720001,61.245258,287531200
03/25/20,62.6875,64.5625,61.075001,61.380001,60.907871,303602000
03/26/20,61.630001,64.669998,61.59,64.610001,64.113029,252087200
03/27/20,63.1875,63.967499,61.762501,61.935001,61.458603,204216800
03/30/20,62.685001,63.880001,62.349998,63.702499,63.212502,167976400
03/31/20,63.900002,65.622498,63,63.572498,63.083504,197002000
04/01/20,61.625,62.18,59.782501,60.227501,59.76424,176218400
04/02/20,60.084999,61.287498,59.224998,61.232498,60.761501,165934000
04/03/20,60.700001,61.424999,59.7425,60.352501,59.888275,129880000
04/06/20,62.724998,65.777496,62.345001,65.6175,65.11277,201820400
04/07/20,67.699997,67.925003,64.75,64.857498,64.358627,202887200
04/08/20,65.684998,66.842499,65.307503,66.517502,66.005852,168895200
04/09/20,67.175003,67.517502,66.175003,66.997498,66.482155,162116400
04/13/20,67.077499,68.425003,66.457497,68.3125,67.787041,131022800
04/14/20,70,72.0625,69.512497,71.762497,71.210495,194994800
04/15/20,70.599998,71.582497,70.157501,71.107498,70.560539,131154400
04/16/20,71.845001,72.050003,70.587502,71.672501,71.121201,157125200
04/17/20,71.172501,71.737503,69.214996,70.699997,70.156174,215250000
04/20/20,69.487503,70.419998,69.212502,69.232498,68.699974,130015200
04/21/20,69.07,69.3125,66.357498,67.092499,66.576424,180991600
04/22/20,68.402496,69.474998,68.050003,69.025002,68.494064,117057200
04/23/20,68.967499,70.4375,68.717499,68.7575,68.228622,124814400
04/24/20,69.300003,70.752502,69.25,70.7425,70.198349,126508800
04/27/20,70.449997,71.135002,69.987503,70.792503,70.247971,117087600
04/28/20,71.269997,71.457497,69.550003,69.644997,69.109299,112004800
04/29/20,71.182503,72.417503,70.972504,71.932503,71.379196,137280800
04/30/20,72.489998,73.6325,72.087502,73.449997,72.885025,183064000
05/01/20,71.5625,74.75,71.462502,72.267502,71.711632,240616800
05/04/20,72.292503,73.422501,71.580002,73.290001,72.726265,133568000
05/05/20,73.764999,75.25,73.614998,74.389999,73.817802,147751200
05/06/20,75.114998,75.809998,74.717499,75.157501,74.579391,142333600
05/07/20,75.805,76.292503,75.4925,75.934998,75.350914,115215200
05/08/20,76.410004,77.587502,76.072502,77.532501,77.144394,134048000
